,Content,Sentiment,Label,caseFold,PuncRev,review_token,stopwords_removal,stemming
2658,Siiipp ðŸ‘ðŸ‘bgt,positif,1,siiipp ðÿ‘ðÿ‘bgt,siiipp  bgt,"['siiipp', 'bgt']","['siiipp', 'bgt']","['siiipp', 'bgt']"
2659,Tidak semudah yg dibayangkan,netral,0,tidak semudah yg dibayangkan,tidak semudah yg dibayangkan,"['tidak', 'semudah', 'yg', 'dibayangkan']","['semudah', 'yg', 'dibayangkan']","['mudah', 'yg', 'bayang']"
2660,"Ribet,jika nama id keblokir,harus menghubungi layanan yang banyak menghabiskan pulsa, tolong fasilitas pelayanan nya ditambah i",negatif,-1,"ribet,jika nama id keblokir,harus menghubungi layanan yang banyak menghabiskan pulsa, tolong fasilitas pelayanan nya ditambah i",ribet jika nama id keblokir harus menghubungi layanan yang banyak menghabiskan pulsa  tolong fasilitas pelayanan nya ditambah i,"['ribet', 'jika', 'nama', 'id', 'keblokir', 'harus', 'menghubungi', 'layanan', 'yang', 'banyak', 'menghabiskan', 'pulsa', 'tolong', 'fasilitas', 'pelayanan', 'nya', 'ditambah', 'i']","['ribet', 'nama', 'id', 'keblokir', 'menghubungi', 'layanan', 'menghabiskan', 'pulsa', 'tolong', 'fasilitas', 'pelayanan', 'nya', 'ditambah', 'i']","['ribet', 'nama', 'id', 'blokir', 'hubung', 'layan', 'habis', 'pulsa', 'tolong', 'fasilitas', 'layan', 'nya', 'tambah', 'i']"
2661,Sangat membantu,positif,1,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],['bantu']
2662,ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘,positif,1,ðÿ‘ðÿ‘ðÿ‘ðÿ‘ðÿ‘ðÿ‘ðÿ‘, ,[],[],[]
2663,The Best ðŸ‘ðŸ™,positif,1,the best ðÿ‘ðÿ™,the best  ,"['the', 'best']","['the', 'best']","['the', 'best']"
2664,Setiap update pasti ada errornya,negatif,-1,setiap update pasti ada errornya,setiap update pasti ada errornya,"['setiap', 'update', 'pasti', 'ada', 'errornya']","['update', 'errornya']","['update', 'errornya']"
2665,okay,netral,0,okay,okay,['okay'],['okay'],['okay']
2666,Knp peringkat tidak dapat mengakses octo mobil,netral,0,knp peringkat tidak dapat mengakses octo mobil,knp peringkat tidak dapat mengakses octo mobil,"['knp', 'peringkat', 'tidak', 'dapat', 'mengakses', 'octo', 'mobil']","['knp', 'peringkat', 'mengakses', 'octo', 'mobil']","['knp', 'peringkat', 'akses', 'octo', 'mobil']"
2667,Di buka selalu tutup otomatis ada perintah update tapi tidak bisa di update ðŸ˜”,negatif,-1,di buka selalu tutup otomatis ada perintah update tapi tidak bisa di update ðÿ˜”,di buka selalu tutup otomatis ada perintah update tapi tidak bisa di update  ,"['di', 'buka', 'selalu', 'tutup', 'otomatis', 'ada', 'perintah', 'update', 'tapi', 'tidak', 'bisa', 'di', 'update']","['buka', 'tutup', 'otomatis', 'perintah', 'update', 'update']","['buka', 'tutup', 'otomatis', 'perintah', 'update', 'update']"
2668,jelek eror mulu,negatif,-1,jelek eror mulu,jelek eror mulu,"['jelek', 'eror', 'mulu']","['jelek', 'eror', 'mulu']","['jelek', 'eror', 'mulu']"
2669,Nice..ðŸ‘,positif,1,nice..ðÿ‘,nice ,['nice'],['nice'],['nice']
2670,"Aman, cepat",positif,1,"aman, cepat",aman  cepat,"['aman', 'cepat']","['aman', 'cepat']","['aman', 'cepat']"
2671,Aplikasi parah banget. Lelet. Lama. Error mulu.,negatif,-1,aplikasi parah banget. lelet. lama. error mulu.,aplikasi parah banget  lelet  lama  error mulu ,"['aplikasi', 'parah', 'banget', 'lelet', 'lama', 'error', 'mulu']","['aplikasi', 'parah', 'banget', 'lelet', 'error', 'mulu']","['aplikasi', 'parah', 'banget', 'lelet', 'error', 'mulu']"
2672,Baik,positif,1,baik,baik,['baik'],[],[]
2673,"Apps cuma loading, apps gajelas",negatif,-1,"apps cuma loading, apps gajelas",apps cuma loading  apps gajelas,"['apps', 'cuma', 'loading', 'apps', 'gajelas']","['apps', 'loading', 'apps', 'gajelas']","['apps', 'loading', 'apps', 'gajelas']"
2674,"Aplikasinya enjoy banget, anak muda banget, mudah buat transaksi terjadwal nya. Sukses selalu CIMB niaga",positif,1,"aplikasinya enjoy banget, anak muda banget, mudah buat transaksi terjadwal nya. sukses selalu cimb niaga",aplikasinya enjoy banget  anak muda banget  mudah buat transaksi terjadwal nya  sukses selalu cimb niaga,"['aplikasinya', 'enjoy', 'banget', 'anak', 'muda', 'banget', 'mudah', 'buat', 'transaksi', 'terjadwal', 'nya', 'sukses', 'selalu', 'cimb', 'niaga']","['aplikasinya', 'enjoy', 'banget', 'anak', 'muda', 'banget', 'mudah', 'transaksi', 'terjadwal', 'nya', 'sukses', 'cimb', 'niaga']","['aplikasi', 'enjoy', 'banget', 'anak', 'muda', 'banget', 'mudah', 'transaksi', 'jadwal', 'nya', 'sukses', 'cimb', 'niaga']"
2675,Apk y jelek !! Gk bs dipake dikeadaan darurat. Mesti mencoba masuk 20x bru bs.. sllu aja ada notif null null null !!!,negatif,-1,apk y jelek !! gk bs dipake dikeadaan darurat. mesti mencoba masuk 20x bru bs.. sllu aja ada notif null null null !!!,apk y jelek   gk bs dipake dikeadaan darurat  mesti mencoba masuk  x bru bs  sllu aja ada notif null null null  ,"['apk', 'y', 'jelek', 'gk', 'bs', 'dipake', 'dikeadaan', 'darurat', 'mesti', 'mencoba', 'masuk', 'x', 'bru', 'bs', 'sllu', 'aja', 'ada', 'notif', 'null', 'null', 'null']","['apk', 'y', 'jelek', 'gk', 'bs', 'dipake', 'dikeadaan', 'darurat', 'mesti', 'mencoba', 'masuk', 'x', 'bru', 'bs', 'sllu', 'aja', 'notif', 'null', 'null', 'null']","['apk', 'y', 'jelek', 'gk', 'bs', 'dipake', 'ada', 'darurat', 'mesti', 'coba', 'masuk', 'x', 'bru', 'bs', 'sllu', 'aja', 'notif', 'null', 'null', 'null']"
2676,Jaman sekarang transfer murah ini kena bayar 6500,netral,0,jaman sekarang transfer murah ini kena bayar 6500,jaman sekarang transfer murah ini kena bayar  ,"['jaman', 'sekarang', 'transfer', 'murah', 'ini', 'kena', 'bayar']","['jaman', 'transfer', 'murah', 'kena', 'bayar']","['jaman', 'transfer', 'murah', 'kena', 'bayar']"
2677,sangat mempermudah nasabah dalam melakukan banyak transaksi,positif,1,sangat mempermudah nasabah dalam melakukan banyak transaksi,sangat mempermudah nasabah dalam melakukan banyak transaksi,"['sangat', 'mempermudah', 'nasabah', 'dalam', 'melakukan', 'banyak', 'transaksi']","['mempermudah', 'nasabah', 'transaksi']","['mudah', 'nasabah', 'transaksi']"
2678,Bagus,positif,1,bagus,bagus,['bagus'],['bagus'],['bagus']
2679,Gimna sih apk ini udah bner masuk id malah minta kode.,negatif,-1,gimna sih apk ini udah bner masuk id malah minta kode.,gimna sih apk ini udah bner masuk id malah minta kode ,"['gimna', 'sih', 'apk', 'ini', 'udah', 'bner', 'masuk', 'id', 'malah', 'minta', 'kode']","['gimna', 'sih', 'apk', 'udah', 'bner', 'masuk', 'id', 'kode']","['gimna', 'sih', 'apk', 'udah', 'bner', 'masuk', 'id', 'kode']"
2680,Sangat memuaskan,positif,1,sangat memuaskan,sangat memuaskan,"['sangat', 'memuaskan']",['memuaskan'],['muas']
2681,"Gak sesuai ekspetasi, sangat merepotkan",negatif,-1,"gak sesuai ekspetasi, sangat merepotkan",gak sesuai ekspetasi  sangat merepotkan,"['gak', 'sesuai', 'ekspetasi', 'sangat', 'merepotkan']","['gak', 'sesuai', 'ekspetasi', 'merepotkan']","['gak', 'sesuai', 'ekspetasi', 'repot']"
2682,"Bug hp terdeteksi root, aplikasi terbengkalai developer nya tidak menanggapi keluhan para pelanggan",negatif,-1,"bug hp terdeteksi root, aplikasi terbengkalai developer nya tidak menanggapi keluhan para pelanggan",bug hp terdeteksi root  aplikasi terbengkalai developer nya tidak menanggapi keluhan para pelanggan,"['bug', 'hp', 'terdeteksi', 'root', 'aplikasi', 'terbengkalai', 'developer', 'nya', 'tidak', 'menanggapi', 'keluhan', 'para', 'pelanggan']","['bug', 'hp', 'terdeteksi', 'root', 'aplikasi', 'terbengkalai', 'developer', 'nya', 'menanggapi', 'keluhan', 'pelanggan']","['bug', 'hp', 'deteksi', 'root', 'aplikasi', 'bengkalai', 'developer', 'nya', 'tanggap', 'keluh', 'langgan']"
2683,Ok,netral,0,ok,ok,['ok'],['ok'],['ok']
2684,G bs di aplikasi kan,negatif,-1,g bs di aplikasi kan,g bs di aplikasi kan,"['g', 'bs', 'di', 'aplikasi', 'kan']","['g', 'bs', 'aplikasi']","['g', 'bs', 'aplikasi']"
2685,MBanking yang Lengkap dan Bisa diandalkan dalam era digital saat ini,positif,1,mbanking yang lengkap dan bisa diandalkan dalam era digital saat ini,mbanking yang lengkap dan bisa diandalkan dalam era digital saat ini,"['mbanking', 'yang', 'lengkap', 'dan', 'bisa', 'diandalkan', 'dalam', 'era', 'digital', 'saat', 'ini']","['mbanking', 'lengkap', 'diandalkan', 'era', 'digital']","['mbanking', 'lengkap', 'andal', 'era', 'digital']"
2686,Baik,positif,1,baik,baik,['baik'],[],[]
2687,"App sering minta di update, padahal bulan juli kemaren baru di update, meskipun app membantu masak tiap bulan harus di update, tolong dong di perbaiki, sering nge lag juga",netral,0,"app sering minta di update, padahal bulan juli kemaren baru di update, meskipun app membantu masak tiap bulan harus di update, tolong dong di perbaiki, sering nge lag juga",app sering minta di update  padahal bulan juli kemaren baru di update  meskipun app membantu masak tiap bulan harus di update  tolong dong di perbaiki  sering nge lag juga,"['app', 'sering', 'minta', 'di', 'update', 'padahal', 'bulan', 'juli', 'kemaren', 'baru', 'di', 'update', 'meskipun', 'app', 'membantu', 'masak', 'tiap', 'bulan', 'harus', 'di', 'update', 'tolong', 'dong', 'di', 'perbaiki', 'sering', 'nge', 'lag', 'juga']","['app', 'update', 'juli', 'kemaren', 'update', 'app', 'membantu', 'masak', 'update', 'tolong', 'perbaiki', 'nge', 'lag']","['app', 'update', 'juli', 'kemaren', 'update', 'app', 'bantu', 'masak', 'update', 'tolong', 'baik', 'nge', 'lag']"
2688,Sangat membantu sekali,positif,1,sangat membantu sekali,sangat membantu sekali,"['sangat', 'membantu', 'sekali']",['membantu'],['bantu']
2689,"Aplikasi tidak dapat bejalan dengan baik, hanya bisa login pada saat HP sudah di restar, setelah login 1X tidak dapat login lagi. Masa harus restar HP hanya untuk mengecek saldo. Tolong segera di perbaiki. Terimakasih",negatif,-1,"aplikasi tidak dapat bejalan dengan baik, hanya bisa login pada saat hp sudah di restar, setelah login 1x tidak dapat login lagi. masa harus restar hp hanya untuk mengecek saldo. tolong segera di perbaiki. terimakasih",aplikasi tidak dapat bejalan dengan baik  hanya bisa login pada saat hp sudah di restar  setelah login  x tidak dapat login lagi  masa harus restar hp hanya untuk mengecek saldo  tolong segera di perbaiki  terimakasih,"['aplikasi', 'tidak', 'dapat', 'bejalan', 'dengan', 'baik', 'hanya', 'bisa', 'login', 'pada', 'saat', 'hp', 'sudah', 'di', 'restar', 'setelah', 'login', 'x', 'tidak', 'dapat', 'login', 'lagi', 'masa', 'harus', 'restar', 'hp', 'hanya', 'untuk', 'mengecek', 'saldo', 'tolong', 'segera', 'di', 'perbaiki', 'terimakasih']","['aplikasi', 'bejalan', 'login', 'hp', 'restar', 'login', 'x', 'login', 'restar', 'hp', 'mengecek', 'saldo', 'tolong', 'perbaiki', 'terimakasih']","['aplikasi', 'bejalan', 'login', 'hp', 'restar', 'login', 'x', 'login', 'restar', 'hp', 'ecek', 'saldo', 'tolong', 'baik', 'terimakasih']"
2690,"Setelah update, jd tidak bisa login. Tolong segera di betulkan",negatif,-1,"setelah update, jd tidak bisa login. tolong segera di betulkan",setelah update  jd tidak bisa login  tolong segera di betulkan,"['setelah', 'update', 'jd', 'tidak', 'bisa', 'login', 'tolong', 'segera', 'di', 'betulkan']","['update', 'jd', 'login', 'tolong', 'betulkan']","['update', 'jd', 'login', 'tolong', 'betul']"
2691,Makin update makin menyusahkan,negatif,-1,makin update makin menyusahkan,makin update makin menyusahkan,"['makin', 'update', 'makin', 'menyusahkan']","['update', 'menyusahkan']","['update', 'susah']"
2692,"tidak bisa masuk, sudah screenshot dan kirim email belum ada jawaban",negatif,-1,"tidak bisa masuk, sudah screenshot dan kirim email belum ada jawaban",tidak bisa masuk  sudah screenshot dan kirim email belum ada jawaban,"['tidak', 'bisa', 'masuk', 'sudah', 'screenshot', 'dan', 'kirim', 'email', 'belum', 'ada', 'jawaban']","['masuk', 'screenshot', 'kirim', 'email']","['masuk', 'screenshot', 'kirim', 'email']"
2693,"APLIKASI BAGUS. MASUKAN : HURUF DI DETAIL TRANSAKSI PADA ""REKENING ANDA"" SULIT DIBACA, TERLALU KECIL DAN SAMAR",positif,1,"aplikasi bagus. masukan : huruf di detail transaksi pada ""rekening anda"" sulit dibaca, terlalu kecil dan samar",aplikasi bagus  masukan   huruf di detail transaksi pada  rekening anda  sulit dibaca  terlalu kecil dan samar,"['aplikasi', 'bagus', 'masukan', 'huruf', 'di', 'detail', 'transaksi', 'pada', 'rekening', 'anda', 'sulit', 'dibaca', 'terlalu', 'kecil', 'dan', 'samar']","['aplikasi', 'bagus', 'masukan', 'huruf', 'detail', 'transaksi', 'rekening', 'sulit', 'dibaca', 'samar']","['aplikasi', 'bagus', 'masuk', 'huruf', 'detail', 'transaksi', 'rekening', 'sulit', 'baca', 'samar']"
2694,Ini gmn ya ko ga bisa trs transaksi.. setiap buka aplikasi itu lgs close sendiri,negatif,-1,ini gmn ya ko ga bisa trs transaksi.. setiap buka aplikasi itu lgs close sendiri,ini gmn ya ko ga bisa trs transaksi  setiap buka aplikasi itu lgs close sendiri,"['ini', 'gmn', 'ya', 'ko', 'ga', 'bisa', 'trs', 'transaksi', 'setiap', 'buka', 'aplikasi', 'itu', 'lgs', 'close', 'sendiri']","['gmn', 'ya', 'ko', 'ga', 'trs', 'transaksi', 'buka', 'aplikasi', 'lgs', 'close']","['gmn', 'ya', 'ko', 'ga', 'trs', 'transaksi', 'buka', 'aplikasi', 'lgs', 'close']"
2695,TERIMAKASIH BPK SIAPA SAYA LUPA YG TELAH MEMBANTU SAYA YG MENGHAPUS CICILAN 2X LAGI LUNAS.SEMOGA BPK YG MEMBANTU SAYA DI BERKATI TUHAN YESUS KRISTUS.AMIN.NO HUTANG2 LAGI DAH SEREM BANGET.,positif,1,terimakasih bpk siapa saya lupa yg telah membantu saya yg menghapus cicilan 2x lagi lunas.semoga bpk yg membantu saya di berkati tuhan yesus kristus.amin.no hutang2 lagi dah serem banget.,terimakasih bpk siapa saya lupa yg telah membantu saya yg menghapus cicilan  x lagi lunas semoga bpk yg membantu saya di berkati tuhan yesus kristus amin no hutang  lagi dah serem banget ,"['terimakasih', 'bpk', 'siapa', 'saya', 'lupa', 'yg', 'telah', 'membantu', 'saya', 'yg', 'menghapus', 'cicilan', 'x', 'lagi', 'lunas', 'semoga', 'bpk', 'yg', 'membantu', 'saya', 'di', 'berkati', 'tuhan', 'yesus', 'kristus', 'amin', 'no', 'hutang', 'lagi', 'dah', 'serem', 'banget']","['terimakasih', 'bpk', 'lupa', 'yg', 'membantu', 'yg', 'menghapus', 'cicilan', 'x', 'lunas', 'semoga', 'bpk', 'yg', 'membantu', 'berkati', 'tuhan', 'yesus', 'kristus', 'amin', 'no', 'hutang', 'dah', 'serem', 'banget']","['terimakasih', 'bpk', 'lupa', 'yg', 'bantu', 'yg', 'hapus', 'cicil', 'x', 'lunas', 'moga', 'bpk', 'yg', 'bantu', 'berkat', 'tuhan', 'yesus', 'kristus', 'amin', 'no', 'hutang', 'dah', 'rem', 'banget']"
2696,"saya mau nanya ..saya udah bikin rek CIMB niaga..bahkan saya udah isiin saldonya..apakah saldonya aman ...sementra ini saya belum bisa login.dikareunakan hari memakai pascode yg dikirim melalui SMS ,saya udah berkali"" tapi sama sekali ga ada SMS dari pihak CIMB nya ..tolong diblz ya Bu/pa admin....ðŸ™ðŸ™?",positif,1,"saya mau nanya ..saya udah bikin rek cimb niaga..bahkan saya udah isiin saldonya..apakah saldonya aman ...sementra ini saya belum bisa login.dikareunakan hari memakai pascode yg dikirim melalui sms ,saya udah berkali"" tapi sama sekali ga ada sms dari pihak cimb nya ..tolong diblz ya bu/pa admin....ðÿ™ðÿ™?",saya mau nanya  saya udah bikin rek cimb niaga bahkan saya udah isiin saldonya apakah saldonya aman  sementra ini saya belum bisa login dikareunakan hari memakai pascode yg dikirim melalui sms  saya udah berkali  tapi sama sekali ga ada sms dari pihak cimb nya  tolong diblz ya bu pa admin ,"['saya', 'mau', 'nanya', 'saya', 'udah', 'bikin', 'rek', 'cimb', 'niaga', 'bahkan', 'saya', 'udah', 'isiin', 'saldonya', 'apakah', 'saldonya', 'aman', 'sementra', 'ini', 'saya', 'belum', 'bisa', 'login', 'dikareunakan', 'hari', 'memakai', 'pascode', 'yg', 'dikirim', 'melalui', 'sms', 'saya', 'udah', 'berkali', 'tapi', 'sama', 'sekali', 'ga', 'ada', 'sms', 'dari', 'pihak', 'cimb', 'nya', 'tolong', 'diblz', 'ya', 'bu', 'pa', 'admin']","['nanya', 'udah', 'bikin', 'rek', 'cimb', 'niaga', 'udah', 'isiin', 'saldonya', 'saldonya', 'aman', 'sementra', 'login', 'dikareunakan', 'memakai', 'pascode', 'yg', 'dikirim', 'sms', 'udah', 'berkali', 'ga', 'sms', 'cimb', 'nya', 'tolong', 'diblz', 'ya', 'bu', 'pa', 'admin']","['nanya', 'udah', 'bikin', 'rek', 'cimb', 'niaga', 'udah', 'isiin', 'saldo', 'saldo', 'aman', 'tra', 'login', 'dikareunakan', 'pakai', 'pascode', 'yg', 'kirim', 'sms', 'udah', 'kali', 'ga', 'sms', 'cimb', 'nya', 'tolong', 'diblz', 'ya', 'bu', 'pa', 'admin']"
2697,"Mendingan ga usah update, makin di update makin lemot apa gunanya di-update",negatif,-1,"mendingan ga usah update, makin di update makin lemot apa gunanya di-update",mendingan ga usah update  makin di update makin lemot apa gunanya di update,"['mendingan', 'ga', 'usah', 'update', 'makin', 'di', 'update', 'makin', 'lemot', 'apa', 'gunanya', 'di', 'update']","['mendingan', 'ga', 'update', 'update', 'lemot', 'gunanya', 'update']","['mending', 'ga', 'update', 'update', 'lot', 'guna', 'update']"
2698,Good,positif,1,good,good,['good'],['good'],['good']
2699,UI nya keren,positif,1,ui nya keren,ui nya keren,"['ui', 'nya', 'keren']","['ui', 'nya', 'keren']","['ui', 'nya', 'keren']"
2700,Force close terus.. Ga bisa di buka..,negatif,-1,force close terus.. ga bisa di buka..,force close terus  ga bisa di buka ,"['force', 'close', 'terus', 'ga', 'bisa', 'di', 'buka']","['force', 'close', 'ga', 'buka']","['force', 'close', 'ga', 'buka']"
2701,Trf cepat..,positif,1,trf cepat..,trf cepat ,"['trf', 'cepat']","['trf', 'cepat']","['trf', 'cepat']"
2702,Very helpfull,positif,1,very helpfull,very helpfull,"['very', 'helpfull']","['very', 'helpfull']","['very', 'helpfull']"
2703,"Say no to cimb, setelah instal bank ini, banyak banget telpon dari 021 atau asuransi, parahhh",negatif,-1,"say no to cimb, setelah instal bank ini, banyak banget telpon dari 021 atau asuransi, parahhh",say no to cimb  setelah instal bank ini  banyak banget telpon dari   atau asuransi  parahhh,"['say', 'no', 'to', 'cimb', 'setelah', 'instal', 'bank', 'ini', 'banyak', 'banget', 'telpon', 'dari', 'atau', 'asuransi', 'parahhh']","['say', 'no', 'to', 'cimb', 'instal', 'bank', 'banget', 'telpon', 'asuransi', 'parahhh']","['say', 'no', 'to', 'cimb', 'instal', 'bank', 'banget', 'telpon', 'asuransi', 'parahhh']"
2704,Bagusssss,positif,1,bagusssss,bagusssss,['bagusssss'],['bagusssss'],['bagusssss']
2705,Lupa pasword rekpon udh ke dua bank cimb niaga ga bisa cm ngabisin pulsa aja...,negatif,-1,lupa pasword rekpon udh ke dua bank cimb niaga ga bisa cm ngabisin pulsa aja...,lupa pasword rekpon udh ke dua bank cimb niaga ga bisa cm ngabisin pulsa aja ,"['lupa', 'pasword', 'rekpon', 'udh', 'ke', 'dua', 'bank', 'cimb', 'niaga', 'ga', 'bisa', 'cm', 'ngabisin', 'pulsa', 'aja']","['lupa', 'pasword', 'rekpon', 'udh', 'bank', 'cimb', 'niaga', 'ga', 'cm', 'ngabisin', 'pulsa', 'aja']","['lupa', 'pasword', 'rekpon', 'udh', 'bank', 'cimb', 'niaga', 'ga', 'cm', 'ngabisin', 'pulsa', 'aja']"
2706,"Ribet g bisa di pake,,, dada cimb ,,,,ganti yg lain aza ,,makasih",negatif,-1,"ribet g bisa di pake,,, dada cimb ,,,,ganti yg lain aza ,,makasih",ribet g bisa di pake  dada cimb  ganti yg lain aza  makasih,"['ribet', 'g', 'bisa', 'di', 'pake', 'dada', 'cimb', 'ganti', 'yg', 'lain', 'aza', 'makasih']","['ribet', 'g', 'pake', 'dada', 'cimb', 'ganti', 'yg', 'aza', 'makasih']","['ribet', 'g', 'pake', 'dada', 'cimb', 'ganti', 'yg', 'aza', 'makasih']"
2707,ada bug.. aplikasi force close ketika hendak transfer ke rekening sendiri. tolong di fix. tks,negatif,-1,ada bug.. aplikasi force close ketika hendak transfer ke rekening sendiri. tolong di fix. tks,ada bug  aplikasi force close ketika hendak transfer ke rekening sendiri  tolong di fix  tks,"['ada', 'bug', 'aplikasi', 'force', 'close', 'ketika', 'hendak', 'transfer', 'ke', 'rekening', 'sendiri', 'tolong', 'di', 'fix', 'tks']","['bug', 'aplikasi', 'force', 'close', 'transfer', 'rekening', 'tolong', 'fix', 'tks']","['bug', 'aplikasi', 'force', 'close', 'transfer', 'rekening', 'tolong', 'fix', 'tks']"
2708,"Aplikasi nya ribet buat login, habis pulsa gak bisa masuk juga login ke akun.. Sangat aneh",negatif,-1,"aplikasi nya ribet buat login, habis pulsa gak bisa masuk juga login ke akun.. sangat aneh",aplikasi nya ribet buat login  habis pulsa gak bisa masuk juga login ke akun  sangat aneh,"['aplikasi', 'nya', 'ribet', 'buat', 'login', 'habis', 'pulsa', 'gak', 'bisa', 'masuk', 'juga', 'login', 'ke', 'akun', 'sangat', 'aneh']","['aplikasi', 'nya', 'ribet', 'login', 'habis', 'pulsa', 'gak', 'masuk', 'login', 'akun', 'aneh']","['aplikasi', 'nya', 'ribet', 'login', 'habis', 'pulsa', 'gak', 'masuk', 'login', 'akun', 'aneh']"
2709,Mempermudah transaksi,positif,1,mempermudah transaksi,mempermudah transaksi,"['mempermudah', 'transaksi']","['mempermudah', 'transaksi']","['mudah', 'transaksi']"
2710,Mantap,positif,1,mantap,mantap,['mantap'],['mantap'],['mantap']
2711,"Aplikasi yg update, nyaman dan memudahkan dlm bertransaksi",positif,1,"aplikasi yg update, nyaman dan memudahkan dlm bertransaksi",aplikasi yg update  nyaman dan memudahkan dlm bertransaksi,"['aplikasi', 'yg', 'update', 'nyaman', 'dan', 'memudahkan', 'dlm', 'bertransaksi']","['aplikasi', 'yg', 'update', 'nyaman', 'memudahkan', 'dlm', 'bertransaksi']","['aplikasi', 'yg', 'update', 'nyaman', 'mudah', 'dlm', 'transaksi']"
2712,"Parahh,buat rekening nunggu vc ampe ktiduran kaga di angkat ama cs nya, ga kek BCA yang cepet bgt",negatif,-1,"parahh,buat rekening nunggu vc ampe ktiduran kaga di angkat ama cs nya, ga kek bca yang cepet bgt",parahh buat rekening nunggu vc ampe ktiduran kaga di angkat ama cs nya  ga kek bca yang cepet bgt,"['parahh', 'buat', 'rekening', 'nunggu', 'vc', 'ampe', 'ktiduran', 'kaga', 'di', 'angkat', 'ama', 'cs', 'nya', 'ga', 'kek', 'bca', 'yang', 'cepet', 'bgt']","['parahh', 'rekening', 'nunggu', 'vc', 'ampe', 'ktiduran', 'kaga', 'angkat', 'ama', 'cs', 'nya', 'ga', 'kek', 'bca', 'cepet', 'bgt']","['parahh', 'rekening', 'nunggu', 'vc', 'ampe', 'ktiduran', 'kaga', 'angkat', 'ama', 'cs', 'nya', 'ga', 'kek', 'bca', 'cepet', 'bgt']"
2713,Gajadi bintang 1 karna udah dibalikin dana nya thankyu CIMB ðŸ¥º,positif,1,gajadi bintang 1 karna udah dibalikin dana nya thankyu cimb ðÿ¥º,gajadi bintang   karna udah dibalikin dana nya thankyu cimb  ,"['gajadi', 'bintang', 'karna', 'udah', 'dibalikin', 'dana', 'nya', 'thankyu', 'cimb']","['gajadi', 'bintang', 'karna', 'udah', 'dibalikin', 'dana', 'nya', 'thankyu', 'cimb']","['gajadi', 'bintang', 'karna', 'udah', 'dibalikin', 'dana', 'nya', 'thankyu', 'cimb']"
2714,Good job.,positif,1,good job.,good job ,"['good', 'job']","['good', 'job']","['good', 'job']"
2715,Bisa cek tagihan berjalan kartu kredit. Bisa tersambung rek tabunganku. Bisa setor tunai dari atm cimb niaga,positif,1,bisa cek tagihan berjalan kartu kredit. bisa tersambung rek tabunganku. bisa setor tunai dari atm cimb niaga,bisa cek tagihan berjalan kartu kredit  bisa tersambung rek tabunganku  bisa setor tunai dari atm cimb niaga,"['bisa', 'cek', 'tagihan', 'berjalan', 'kartu', 'kredit', 'bisa', 'tersambung', 'rek', 'tabunganku', 'bisa', 'setor', 'tunai', 'dari', 'atm', 'cimb', 'niaga']","['cek', 'tagihan', 'berjalan', 'kartu', 'kredit', 'tersambung', 'rek', 'tabunganku', 'setor', 'tunai', 'atm', 'cimb', 'niaga']","['cek', 'tagih', 'jalan', 'kartu', 'kredit', 'sambung', 'rek', 'tabung', 'setor', 'tunai', 'atm', 'cimb', 'niaga']"
2716,Permintaan anda tidak dapat di proses. Udah beberapa hari error seperti ini terus. Ga bisa di pake.,negatif,-1,permintaan anda tidak dapat di proses. udah beberapa hari error seperti ini terus. ga bisa di pake.,permintaan anda tidak dapat di proses  udah beberapa hari error seperti ini terus  ga bisa di pake ,"['permintaan', 'anda', 'tidak', 'dapat', 'di', 'proses', 'udah', 'beberapa', 'hari', 'error', 'seperti', 'ini', 'terus', 'ga', 'bisa', 'di', 'pake']","['permintaan', 'proses', 'udah', 'error', 'ga', 'pake']","['minta', 'proses', 'udah', 'error', 'ga', 'pake']"
2717,Sangat membantu sekali untu transaksi apa saya.. Tingkatkan terus. Dan kalo bisa transaksinya 24jam nonstop,positif,1,sangat membantu sekali untu transaksi apa saya.. tingkatkan terus. dan kalo bisa transaksinya 24jam nonstop,sangat membantu sekali untu transaksi apa saya  tingkatkan terus  dan kalo bisa transaksinya  jam nonstop,"['sangat', 'membantu', 'sekali', 'untu', 'transaksi', 'apa', 'saya', 'tingkatkan', 'terus', 'dan', 'kalo', 'bisa', 'transaksinya', 'jam', 'nonstop']","['membantu', 'untu', 'transaksi', 'tingkatkan', 'kalo', 'transaksinya', 'jam', 'nonstop']","['bantu', 'untu', 'transaksi', 'tingkat', 'kalo', 'transaksi', 'jam', 'nonstop']"
2718,"Cepat,,,tepat,,,tuntas,,,ðŸ‘",positif,1,"cepat,,,tepat,,,tuntas,,,ðÿ‘",cepat tepat tuntas ,"['cepat', 'tepat', 'tuntas']","['cepat', 'tuntas']","['cepat', 'tuntas']"
